INITIAL				RENAMED
tBodyAcc-mean()-X		timeBodyAcceleration-mean()-X
tBodyAcc-mean()-Y		timeBodyAcceleration-mean()-Y
tBodyAcc-mean()-Z		timeBodyAcceleration-mean()-Z
tBodyAcc-std()-X		timeBodyAcceleration-std()-X
tBodyAcc-std()-Y		timeBodyAcceleration-std()-Y
tBodyAcc-std()-Z		timeBodyAcceleration-std()-Z
tGravityAcc-mean()-X		timeGravityAcceleration-mean()-X
tGravityAcc-mean()-Y		timeGravityAcceleration-mean()-Y
tGravityAcc-mean()-Z		timeGravityAcceleration-mean()-Z
tGravityAcc-std()-X		timeGravityAcceleration-std()-X
tGravityAcc-std()-Y		timeGravityAcceleration-std()-Y
tGravityAcc-std()-Z		timeGravityAcceleration-std()-Z
tBodyAccJerk-mean()-X		timeBodyAccelerationJerk-mean()-X
tBodyAccJerk-mean()-Y		timeBodyAccelerationJerk-mean()-Y
tBodyAccJerk-mean()-Z		timeBodyAccelerationJerk-mean()-Z
tBodyAccJerk-std()-X		timeBodyAccelerationJerk-std()-X
tBodyAccJerk-std()-Y		timeBodyAccelerationJerk-std()-Y
tBodyAccJerk-std()-Z		timeBodyAccelerationJerk-std()-Z
tBodyGyro-mean()-X		timeBodyGyroscope-mean()-X
tBodyGyro-mean()-Y		timeBodyGyroscope-mean()-Y
tBodyGyro-mean()-Z		timeBodyGyroscope-mean()-Z
tBodyGyro-std()-X		timeBodyGyroscope-std()-X
tBodyGyro-std()-Y		timeBodyGyroscope-std()-Y
tBodyGyro-std()-Z		timeBodyGyroscope-std()-Z
tBodyGyroJerk-mean()-X		timeBodyGyroscopeJerk-mean()-X
tBodyGyroJerk-mean()-Y		timeBodyGyroscopeJerk-mean()-Y
tBodyGyroJerk-mean()-Z		timeBodyGyroscopeJerk-mean()-Z
tBodyGyroJerk-std()-X		timeBodyGyroscopeJerk-std()-X
tBodyGyroJerk-std()-Y		timeBodyGyroscopeJerk-std()-Y
tBodyGyroJerk-std()-Z		timeBodyGyroscopeJerk-std()-Z
tBodyAccMag-mean()		timeBodyAccelerationMagnitude-mean()
tBodyAccMag-std()		timeBodyAccelerationMagnitude-std()
tGravityAccMag-mean()		timeGravityAccelerationMagnitude-mean()
tGravityAccMag-std()		timeGravityAccelerationMagnitude-std()
tBodyAccJerkMag-mean()		timeBodyAccelerationJerkMagnitude-mean()
tBodyAccJerkMag-std()		timeBodyAccelerationJerkMagnitude-std()
tBodyGyroMag-mean()		timeBodyGyroscopeMagnitude-mean()
tBodyGyroMag-std()		timeBodyGyroscopeMagnitude-std()
tBodyGyroJerkMag-mean()		timeBodyGyroscopeJerkMagnitude-mean()
tBodyGyroJerkMag-std()		timeBodyGyroscopeJerkMagnitude-std()
fBodyAcc-mean()-X		frequencyBodyAcceleration-mean()-X
fBodyAcc-mean()-Y		frequencyBodyAcceleration-mean()-Y
fBodyAcc-mean()-Z		frequencyBodyAcceleration-mean()-Z
fBodyAcc-std()-X		frequencyBodyAcceleration-std()-X
fBodyAcc-std()-Y		frequencyBodyAcceleration-std()-Y
fBodyAcc-std()-Z		frequencyBodyAcceleration-std()-Z
fBodyAccJerk-mean()-X		frequencyBodyAccelerationJerk-mean()-X
fBodyAccJerk-mean()-Y		frequencyBodyAccelerationJerk-mean()-Y
fBodyAccJerk-mean()-Z		frequencyBodyAccelerationJerk-mean()-Z
fBodyAccJerk-std()-X		frequencyBodyAccelerationJerk-std()-X
fBodyAccJerk-std()-Y		frequencyBodyAccelerationJerk-std()-Y
fBodyAccJerk-std()-Z		frequencyBodyAccelerationJerk-std()-Z
fBodyGyro-mean()-X		frequencyBodyGyroscope-mean()-X
fBodyGyro-mean()-Y		frequencyBodyGyroscope-mean()-Y
fBodyGyro-mean()-Z		frequencyBodyGyroscope-mean()-Z
fBodyGyro-std()-X		frequencyBodyGyroscope-std()-X
fBodyGyro-std()-Y		frequencyBodyGyroscope-std()-Y
fBodyGyro-std()-Z		frequencyBodyGyroscope-std()-Z
fBodyAccMag-mean()		frequencyBodyAccelerationMagnitude-mean()
fBodyAccMag-std()		frequencyBodyAccelerationMagnitude-std()
fBodyBodyAccJerkMag-mean()	frequencyBodyAccelerationJerkMagnitude-mean()
fBodyBodyAccJerkMag-std()	frequencyBodyAccelerationJerkMagnitude-std()
fBodyBodyGyroMag-mean()		frequencyBodyGyroscopeMagnitude-mean()
fBodyBodyGyroMag-std()		frequencyBodyGyroscopeMagnitude-std()
fBodyBodyGyroJerkMag-mean()	frequencyBodyGyroscopeJerkMagnitude-mean()
fBodyBodyGyroJerkMag-std()	frequencyBodyGyroscopeJerkMagnitude-std()
